subjCode	seed	angleAssign	labelAssign	condition	room	date_time	dateStr	expVersion	block	trialType	trial	target	angle	left	right	freq	blit	clate	gled	gorm	grah	hoon	noobda	pim	nearbyLabel1	nearbyAngle1	nearbyFreq1	nearbyLabel2	nearbyAngle2	nearbyFreq2	updateScore	feedback	trialType	trialNumber	response	label	isRight	rt	score
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	1	clate	15	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	1	NA	clate	1	5398.04703418	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	2	minada	60	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	2	NA	minada	1	4927.635221	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	3	gorm	105	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	3	NA	gorm	1	3278.81047176	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	4	sarp	150	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	4	NA	sarp	1	3278.09176826	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	5	grah	195	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	5	NA	grah	1	3244.85422182	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	6	mog	240	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	6	NA	mog	1	2411.80019982	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	7	dak	285	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	7	NA	dak	1	2246.18718891	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	8	frabda	330	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	8	NA	frabda	1	4128.23167548	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	1	dak	285	mog	dak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	1	NA	dak	1	5128.15077983	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	2	dak	285	minada	dak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	2	NA	dak	1	2730.09408647	1
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	3	clate	15	minada	clate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	3	NA	clate	1	2830.27247948	2
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	4	gorm	105	sarp	gorm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	4	NA	sarp	0	4646.87027417	3
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	5	gorm	105	mog	gorm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	5	NA	gor,	0	5561.60837451	3
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	6	gorm	105	dak	gorm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	6	NA	gorm	1	4978.20465995	3
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	7	frabda	330	frabda	dak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	7	NA	frabda	1	5429.93018223	4
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	8	mog	240	mog	dak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	8	NA	mog	1	2896.78349246	5
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	9	mog	240	minada	mog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	9	NA	mog	1	2730.14509902	6
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	10	minada	60	dak	minada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	10	NA	minada	1	3913.97834532	7
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	11	minada	60	minada	mog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	11	NA	minada	1	2912.98556254	8
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	12	mog	240	grah	mog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	12	NA	mog	1	2846.41870742	9
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	13	mog	240	mog	gorm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	13	NA	mog	1	2081.0200096	10
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	14	grah	195	grah	mog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	14	NA	grah	1	2897.91663522	11
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	15	gorm	105	gorm	minada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	15	NA	gorm	1	4464.33769707	12
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	16	minada	60	gorm	minada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	16	NA	minada	1	3245.67585597	13
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	17	sarp	150	gorm	sarp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	17	NA	sarp	1	2979.69458875	14
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	18	minada	60	clate	minada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	18	NA	minada	1	5229.74605407	15
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	19	dak	285	dak	gorm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	19	NA	gorm	0	7162.61624976	16
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	20	dak	285	dak	frabda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	20	NA	dak	1	2394.88274659	16
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	5	grah	195	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	9	NA	sarp	0	7450.01826189	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	7	dak	285	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	10	NA	dak	1	2333.35617327	15
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	6	mog	240	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	11	NA	minada	0	7400.08602709	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	8	frabda	330	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	12	NA		0	10050.1667718	0
